Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Age,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Name of non-communicable disease
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,50,Bangladesh,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,441.18397,436.92265,413.68114,403.53749,371.69461,375.86404,352.53011,376.9746,367.95357,337.88372,300.81276,301.2922,236.69737,218.67691,219.02825,211.62269,196.14535,183.39702,172.13547,157.16106,123.02825,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,52,Barbados,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,48.44007,48.56845,46.78249,45.083,42.72807,42.6275,42.11512,39.77807,54.1356,52.59874,53.28667,52.58768,52.17426,50.57476,49.38357,48.7575,47.86213,47.35328,47.09738,46.62337,39.10801,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,112,Belarus,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,24.31824,22.95516,16.61815,13.53789,10.79673,10.76858,8.06859,5.75148,4.31594,3.23744,2.71034,2.55241,1.95914,1.67166,1.472874,2.338,1.5,1.6,1.5,2.2,1.4,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,56,Belgium,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,8.26524,8.01277,7.83245,7.40416,6.93755,6.75314,6.41128,6.69274,6.18618,6.11914,5.92548,5.79497,5.25988,5.54709,5.25817,5.20293,4.93458,4.91231,4.90796,4.60334,4.75586,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,84,Belize,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,85.88872,86.05526,76.06177,77.62387,79.54213,71.88607,64.39338,56.31036,45.58099,39.10902,32.69341,33.42876,28.15785,31.51184,38.45723,49.24151,59.333,71.97347,78.44683,86.01262,129.78827,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,204,Benin,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,469.30762,483.21681,505.33973,504.64987,519.95174,509.18937,502.90343,488.26194,504.05385,583.72013,598.16578,594.1872925999996,580.5299686999992,554.3958485000004,539.1987219999995,590.86295,504.9606567999999,455.6066494000007,494.6707819000017,521.86673,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,64,Bhutan,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,304.68151,257.04143,255.70934,222.10491,196.5206,185.80011,183.099,153.12663,140.67139,129.43666,116.56594,94.31241,91.54671,84.17813,78.32205,73.66837,66.35082,68.39584,57.31804,61.60915,59.94776,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,68,Bolivia (Plurinational State Of),<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,284.00858,261.21929,253.08755,251.1296,235.55935,230.08482,218.42091,219.69738,210.80016,186.80927,184.08718,178.09174,178.80796,174.57707,163.33307,164.83746,160.83799,164.05679,171.43248,175.75274,160.9074,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,70,Bosnia And Herzegovina,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,15.60343,14.28981,15.04486,12.24222,11.33485,11.46767,10.0616,9.15078,8.20636,7.5434,7.69039,7.81489,6.90286,7.55633,8.30099,7.40172,6.42765,5.93275,5.54747,5.3941,5.6684,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,72,Botswana,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,181.55973,183.86374,174.19739,184.49465,196.19945,201.4597,213.01696,215.56041,221.78495,185.27197,155.89905,225.78584,260.27057,141.97632,178.56327,183.87118,134.23304,107.63007,162.26725,117.87685,185.89684,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,76,Brazil,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,68.40032,67.92029,72.37672,68.84275,69.77313,69.96844,71.32388,72.0248,70.48884,67.93384,63.85529,61.941,56.87746,60.86941,62.2825,62.17604,62.71436,59.70362,59.1834,60.73517,72.14754,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,96,Brunei Darussalam,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,49.54607,50.40719,51.25621,46.10778,46.14496,45.98728,46.3565,47.83616,48.44582,41.97332,41.82923,42.34695,42.67065,43.42104,43.86258,44.79335,44.9373,45.47455,44.92879,44.99773,44.23606,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,100,Bulgaria,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,21.93408,20.9894,18.54923,16.70329,15.12295,13.71778,11.82236,10.38471,9.1395,9.93656,10.29714,8.24212,7.54877,7.40413,7.45836,7.5018,7.15806,7.0296,7.16773,6.72991,7.08603,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,854,Burkina Faso,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,505.58867,499.6108,496.95749,456.52688,438.34771,416.89036,405.90953,400.31423,374.50671,368.40329,357.41722,340.40615,320.79482,324.35689,313.40482,294.78294,293.01303,283.11545,276.62409,283.25668,263.7554,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,108,Burundi,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,873.64978,787.3945400000008,767.5779345999986,741.7394615999989,701.4893196000002,712.76769,667.0083469999994,667.2900371999997,630.01971,618.33147,608.00801,575.35079,563.85577,554.3958485000004,526.5016,514.03066,504.9606567999999,455.6066494000007,494.6707819000017,479.29015,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,132,Cabo Verde,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,125.14381,103.41774,95.81947,81.81393,73.65291,76.8877,72.59939,66.06847,69.26035,57.76791,53.91866,49.63626,53.6497,42.45763,42.42374,46.50067,42.1516,39.62307,48.02332,42.0967,42.24144,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,116,Cambodia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,605.58753,573.95974,496.61996,463.56888,446.72474,381.77871,349.59471,327.08913,308.59886,276.63962,276.40026,251.58864,246.36261,229.12243,227.59547,209.1699,197.01701,203.75095,209.22378,214.18641,217.98315,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,120,Cameroon,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,650.73037,629.25033,610.57124,574.42065,555.62467,572.94485,558.27314,528.86177,531.90301,533.66404,526.74798,518.67674,487.09542,490.70608,477.51142,446.84616,437.25174,442.97351,423.89329,439.76751,437.75285,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,124,Canada,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,9.30375,9.82189,10.37895,10.59334,10.65891,11.33054,10.9705,10.55652,12.77333,12.61252,11.94033,11.86201,11.82737,11.47995,11.68249,11.66109,12.52376,12.57896,11.00097,11.15627,11.01287,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,29,Caribbean,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,179.87514,183.61044,174.13149,170.07586,194.05771,174.70431,169.86294,180.22604,185.64629,187.83779,191.22427,198.32848,184.18381,188.67222,190.49147,192.2638,195.32042,183.49482,188.51293,183.88541,187.94072,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,140,Central African Republic,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,1315.16984,787.3945400000008,767.5779345999986,741.7394615999989,701.4893196000002,1158.00143,667.0083469999994,667.2900371999997,665.7418074000013,643.8903354999999,1051.56678,594.1872925999996,580.5299686999992,554.3958485000004,539.1987219999995,909.19323,504.9606567999999,455.6066494000007,494.6707819000017,847.28541,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,13,Central America,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,73.58045,72.30444,71.65052,68.9355,68.12751,69.50893,67.71739,68.49975,68.8619,63.05513,62.53406,61.16894,59.73296,58.28386,58.6015,60.3465,57.54253,58.85808,61.43572,63.46682,64.47912,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,62,Central And Southern Asia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,397.42184,383.07696,349.93299,337.95815,321.22259,306.11923,271.83403,260.80908,245.9729,233.81064,210.36488,200.40505,189.37794,181.02769,168.29012,160.03317,153.45681,147.53425,144.66576,144.43779,128.98125,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,143,Central Asia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,52.21664,48.88912,47.62741,45.61868,43.78029,44.09983,41.35654,39.57745,36.64618,34.44385,33.70511,31.50617,29.7355,28.37763,26.56612,25.99532,25.11767,24.58827,25.29322,24.31657,24.89263,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,148,Chad,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,1365.50682,787.3945400000008,767.5779345999986,741.7394615999989,701.4893196000002,1241.20629,667.0083469999994,667.2900371999997,665.7418074000013,643.8903354999999,1303.28008,594.1872925999996,580.5299686999992,554.3958485000004,539.1987219999995,1125.37242,504.9606567999999,455.6066494000007,494.6707819000017,1047.29688,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152,Chile,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,32.55022,34.01686,31.56189,32.20279,28.76468,27.26825,29.10072,28.48279,25.63771,24.11786,23.36026,20.15415,18.9734,17.98455,16.09087,16.2128,15.01822,14.73754,15.13551,14.60006,15.03074,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,156,China,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,58.06377,55.31018,53.82001,43.34771,48.77667,45.59248,42.55417,39.31897,38.17672,34.05085,33.22315,32.18183,28.44408,28.29749,25.82247,25.98126,23.3129,21.87205,20.35598,20.3975,23.04763,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,170,Colombia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,92.63503,94.13931,93.12215,82.65058,82.35472,81.78541,81.71697,83.07628,72.89445,71.33593,70.56836,70.60106,70.59163,70.30792,69.87793,70.00599,70.08121,71.44645,63.14635,65.44107,74.7629,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,174,Comoros,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,455.69693,434.82113,392.2345,385.2364,374.41507,360.46148,364.85255,358.48359,360.85235,311.10476,316.17192,292.61009,296.96368,284.52306,291.84939,260.75192,255.12814,240.58492,243.56516,236.59631,216.95373,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,178,Congo,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,659.78667,641.40699,619.56424,587.13151,541.07265,487.7581,479.12256,439.35423,414.86237,414.94152,389.0641,387.19913,402.49246,361.82641,375.30715,360.43546,352.6002,365.77114,370.06052,292.12093,282.38575,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,188,Costa Rica,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,38.50786,37.11868,36.4686,36.9265,31.82975,30.53662,29.45057,28.28028,27.12361,26.32806,26.57482,24.25176,24.15619,23.30556,24.23578,19.693,18.57412,18.71925,17.98992,18.69613,22.00381,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,384,Côte D'Ivoire,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,473.46719,495.45026,519.81731,539.48629,536.08183,540.25462,582.76113,589.38139,588.70451,619.39202,604.14592,590.94018,580.5299686999992,554.3958485000004,539.1987219999995,529.76484,504.9606567999999,455.6066494000007,494.6707819000017,482.86071,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,191,Croatia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,10.90609,10.53485,10.83446,10.85276,9.72103,9.22811,8.75829,8.66689,7.98099,9.00552,7.23662,7.0512,6.42449,6.08767,5.89039,6.14627,5.34301,5.35671,4.89074,4.53287,4.81682,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,192,Cuba,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,47.01,46.54925,45.38586,38.63237,41.21648,43.46832,45.90242,45.15532,42.10917,40.29701,41.05777,39.58645,41.14646,40.80733,40.83738,39.16936,40.72115,40.16145,38.6073,40.29785,39.25455,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,196,Cyprus,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,33.16145,32.51078,34.16544,31.23918,32.02489,27.31871,30.62386,25.90659,26.91146,30.41244,26.78463,30.74882,31.88332,36.32315,39.07214,42.39329,42.29249,49.37267,58.51631,63.81406,68.40659,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,203,Czechia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,8.02829,7.6298,6.82948,6.49944,5.7283,5.27713,4.70081,4.83644,4.61854,4.55842,4.26018,3.7356,3.58579,3.34811,3.07678,3.50145,3.49701,3.14178,3.18415,3.33524,3.37402,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,408,Democratic People'S Republic Of Korea,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,185.61623,172.25064,188.3007,123.076,130.5773,121.89171,130.63713,137.70084,139.22049,131.3917,130.23243,120.12187,108.16764,95.89834,84.63795,108.36785,108.75697,107.64795,107.16103,106.15474,106.70048,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,180,Democratic Republic Of The Congo,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,667.73606,660.85454,662.22882,654.54695,643.32966,634.8282,618.63949,628.51377,620.59055,603.13297,601.46461,585.0082,580.5299686999992,554.3958485000004,539.1987219999995,577.80204,504.9606567999999,455.6066494000007,494.6707819000017,540.70228,460.70068640000034,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,208,Denmark,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,8.03473,8.20325,8.2107,7.65942,7.4246,6.90089,6.62904,7.0482,6.81858,6.81576,6.52436,6.65463,6.31267,5.12522,5.10783,5.6015,5.47726,4.99946,5.01327,4.51945,4.65772,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,514,"Developed Regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,15.95565,15.20858,15.64893,14.89877,13.79476,13.22357,12.41025,11.66342,11.43598,11.79646,10.95529,10.79878,10.61415,10.52477,10.25885,10.38108,10.39333,10.62303,10.70428,10.54127,11.97265,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,515,Developing Regions,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,375.03205,369.47143,356.40518,344.98662,337.33577,327.69899,311.06983,304.9494,299.39475,290.97409,281.0182,272.82305,261.48589,259.05687,253.35291,250.02897,245.84461,243.30881,246.2376,246.82464,244.77095,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,262,Djibouti,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,512.45885,487.0404,454.14872,440.45591,393.78531,368.20952,322.19274,324.93344,322.41701,294.26404,273.75379,268.63603,257.31751,245.83211,235.64529,244.33018,251.22334,247.05329,256.895,244.09667,234.49007,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,214,Dominican Republic,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,79.0504,68.55596,70.34202,74.52423,81.48957,86.68351,84.98428,89.44225,92.45635,93.33452,91.77796,93.0558,91.15824,93.4655,95.87625,98.8145,101.93138,104.42416,109.27617,102.90618,107.34754,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,14,Eastern Africa,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,756.23268,742.96728,721.33002,685.67101,662.78001,643.52035,613.514,603.15478,596.2453,571.28349,542.30989,520.40085,486.33961,468.69195,450.78284,429.2787,407.38247,389.88743,373.7184,361.45913,351.30584,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,753,Eastern And South-Eastern Asia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,121.09577,116.97698,114.80833,104.46939,109.57324,105.09752,99.51583,95.4571,93.03084,86.60557,82.84475,84.97485,75.81245,74.14362,70.65016,72.09698,69.26721,68.38597,69.63164,67.63846,73.74511,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,30,Eastern Asia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,57.09143,54.31739,53.24218,42.37683,47.41533,44.46496,41.77208,38.87611,37.92919,33.96798,33.0012,32.01785,28.41396,28.02395,25.64612,26.21989,23.86902,22.62502,21.33964,21.45205,24.03423,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,151,Eastern Europe,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,38.29661,33.72391,35.03514,31.23443,26.77753,24.07072,21.10234,18.06141,15.82011,15.52324,14.43605,12.42197,11.51695,10.63477,9.32549,9.4701,8.24252,8.15562,8.19036,7.08949,11.30893,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,218,Ecuador,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,120.13147,116.09685,111.49933,97.66121,94.20378,92.22148,90.19382,88.45216,87.58868,86.08203,76.16075,73.04751,71.72732,71.51565,64.72169,65.91205,69.87223,68.8101,71.33758,73.79165,65.74967,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,818,Egypt,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,79.40513,75.65371,72.50355,65.7097,62.58319,57.65885,52.86251,47.91399,43.76161,40.00868,38.17329,34.41783,30.97523,28.18218,25.25016,23.9397,21.24377,19.5663,19.05367,17.76567,16.81971,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,222,El Salvador,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,48.8082,47.4899,38.85833,39.09701,34.70395,35.35084,35.75458,36.84189,34.00946,35.51454,35.79718,36.59721,37.67998,39.29931,41.49016,44.32049,42.31451,44.66425,44.65384,38.85559,42.79046,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,226,Equatorial Guinea,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,426.62885,390.08923,350.58471,317.4835,285.58294,258.22607,240.77476,233.52267,230.67099,230.28726,211.29082,194.37718,179.15556,187.43449,206.84934,201.02446,182.39363,197.01191,219.04197,216.35485,212.3303,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,232,Eritrea,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,734.59263,654.12554,642.78625,619.24343,575.06357,545.97527,522.11393,520.64399,529.413,481.07261,479.7486,454.44748,421.9479,420.32105,397.79975,398.52719,388.63589,358.56796,337.75058,331.53104,321.55071,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,233,Estonia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,24.84995,22.34298,20.45115,18.53104,15.06184,13.02089,10.90623,11.13366,9.98989,9.0404,8.11217,7.61888,7.55165,7.11857,6.53779,6.12336,5.81033,5.60521,5.36849,5.06545,5.17964,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,748,Eswatini,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,588.3451,600.28004,606.83675,660.23639,662.75769,677.99587,643.55495,663.55224,665.7418074000013,643.8903354999999,671.51166,594.1872925999996,580.5299686999992,512.46286,426.07155,338.22439,275.4485,236.91407,218.30115,227.99456,239.63239,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,231,Ethiopia,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,952.83638,787.3945400000008,767.5779345999986,741.7394615999989,701.4893196000002,879.85576,667.0083469999994,667.2900371999997,665.7418074000013,643.8903354999999,634.71447,594.1872925999996,543.31886,498.45018,447.35579,399.17053,355.66284,348.31127,311.85239,294.02185,266.68956,,,Unknown
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,150,Europe,<5Y,G,FEMALE,PER_100000_LIVE_BIRTHS,20.2583,18.53802,19.1978,17.68383,15.73073,14.61002,13.30147,12.02069,11.16736,11.09566,10.40228,9.51705,8.9867,8.55473,7.87188,7.82134,7.28263,7.184,7.18398,6.61819,8.4525,,,Unknown
